1.0000,0.2429,0.4420,0.4078,0.0447,0.4002,0.3740,0.1535,0.1661,0.3857,0.3892,0.3769,0.3855,0.1729,0.0506,0.0609,0.0297,0.0577,0.3087,0.2689,0.1455,0.3514,0.0530,0.0835,0.0600,0.1118,0.3902,0.3661,0.3295,0.3554,0.3606,0.2016,0.0497,0.2180,0.0774,0.1925,0.3842,0.1006,0.3905,0.0132,0.4031,0.0097,0.3788,0.3363,0.1137,0.3747,0.1092,0.3492,0.0740,0.3694
0.2429,1.0000,0.3287,0.2993,0.0303,0.2811,0.2644,0.1023,0.1277,0.2687,0.2727,0.2662,0.2199,0.1252,0.0338,0.0433,0.0199,0.0413,0.2238,0.1841,0.1043,0.2497,0.0412,0.0635,0.0475,0.0767,0.3103,0.2569,0.2363,0.2521,0.2611,0.1461,0.0396,0.1528,0.0509,0.1444,0.2761,0.0658,0.2744,0.0094,0.2824,0.0068,0.2681,0.2333,0.1056,0.2639,0.0838,0.2437,0.0540,0.2611
0.4420,0.3287,1.0000,0.6061,0.0157,0.7742,0.7344,0.1687,0.2089,0.7471,0.6933,0.7238,0.4375,0.2465,0.0218,0.0219,0.0437,0.0177,0.5512,0.4820,0.2052,0.6742,0.0238,0.0360,0.0311,0.1297,0.6835,0.6951,0.6181,0.6508,0.6882,0.2211,0.0309,0.2029,0.0672,0.3410,0.6964,0.0976,0.7424,0.0176,0.7586,0.0146,0.7253,0.6273,0.1215,0.7379,0.0967,0.6745,0.0540,0.6869
0.4078,0.2993,0.6061,1.0000,0.0457,0.5561,0.5187,0.1810,0.2231,0.5442,0.5226,0.5343,0.4160,0.2282,0.0474,0.0624,0.0490,0.0571,0.5037,0.3789,0.1909,0.4988,0.0528,0.0858,0.0694,0.1470,0.5177,0.5387,0.4702,0.5082,0.5301,0.2994,0.0608,0.3392,0.0859,0.2847,0.5343,0.1097,0.5396,0.0238,0.5636,0.0204,0.5332,0.4695,0.1445,0.5100,0.1195,0.4795,0.0938,0.5213
0.0447,0.0303,0.0157,0.0457,1.0000,0.0202,0.0156,0.0619,0.1531,0.0145,0.0139,0.0178,0.0569,0.0829,0.1057,0.1515,0.0036,0.1977,0.0137,0.0099,0.1166,0.0211,0.1446,0.1644,0.1610,0.1612,0.0118,0.0189,0.0245,0.0126,0.0131,0.0747,0.1084,0.0627,0.0434,0.0091,0.0176,0.0413,0.0145,0.0093,0.0154,0.0056,0.0147,0.0112,0.0631,0.0127,0.0687,0.0133,0.1225,0.0159
0.4002,0.2811,0.7742,0.5561,0.0202,1.0000,0.8028,0.1659,0.1957,0.7998,0.7448,0.7756,0.4377,0.2596,0.0219,0.0247,0.0456,0.0195,0.5341,0.5009,0.2087,0.7311,0.0228,0.0306,0.0284,0.1156,0.6225,0.7715,0.6640,0.6448,0.6735,0.1923,0.0305,0.1720,0.0737,0.3468,0.7288,0.0975,0.8119,0.0149,0.8086,0.0124,0.7674,0.6842,0.1114,0.8263,0.0886,0.7378,0.0557,0.7247
0.3740,0.2644,0.7344,0.5187,0.0156,0.8028,1.0000,0.1331,0.1888,0.7677,0.7016,0.7474,0.3960,0.2459,0.0221,0.0231,0.0408,0.0171,0.5038,0.4441,0.2037,0.7066,0.0210,0.0324,0.0292,0.1078,0.5863,0.7615,0.6448,0.6154,0.6475,0.1741,0.0288,0.1537,0.0522,0.3313,0.7069,0.0773,0.7877,0.0141,0.7779,0.0118,0.7376,0.6310,0.1103,0.8067,0.0796,0.7124,0.0534,0.6959
0.1535,0.1023,0.1687,0.1810,0.0619,0.1659,0.1331,1.0000,0.1308,0.1432,0.1533,0.1458,0.1766,0.1345,0.0604,0.0859,0.0217,0.0765,0.1243,0.1229,0.1181,0.1245,0.0768,0.1334,0.0763,0.0852,0.1314,0.1235,0.1321,0.1425,0.1533,0.1416,0.0689,0.1281,0.3328,0.0862,0.1532,0.2576,0.1385,0.0104,0.1413,0.0094,0.1354,0.1347,0.1367,0.1345,0.2243,0.1364,0.0835,0.1385
0.1661,0.1277,0.2089,0.2231,0.1531,0.1957,0.1888,0.1308,1.0000,0.1939,0.1867,0.2005,0.2025,0.2014,0.1381,0.2214,0.0157,0.2044,0.1572,0.1349,0.1837,0.1904,0.1374,0.3735,0.1339,0.1244,0.1673,0.1922,0.1884,0.1734,0.1818,0.1482,0.1553,0.1675,0.0777,0.1082,0.1995,0.0829,0.1946,0.0253,0.2027,0.0196,0.1976,0.1686,0.1322,0.1909,0.1426,0.1757,0.1974,0.1915
0.3857,0.2687,0.7471,0.5442,0.0145,0.7998,0.7677,0.1432,0.1939,1.0000,0.7027,0.7717,0.4134,0.2445,0.0208,0.0225,0.0421,0.0170,0.5349,0.4624,0.2062,0.7300,0.0205,0.0323,0.0272,0.1163,0.6028,0.7439,0.6518,0.6244,0.6509,0.1823,0.0267,0.1632,0.0485,0.3412,0.7056,0.0803,0.7909,0.0124,0.7929,0.0097,0.7802,0.6367,0.0978,0.8040,0.0801,0.7229,0.0523,0.7227
